eventID,eventDate,Year,Month,Day,decimalLatitude,decimalLongitude,maximumDepthInMeters,language,modified,minimumDepthInMeters,license,footprintWKT,geodeticDatum,datasetDOI,bibliographicCitation,institutionCode,institutionID,sampleSizeValue,sampleSizeUnit,samplingProtocol
IYS2022-TINRO-3-1-FC-5,2022-03-02T02:58:00Z,2022,3,2,48.62833333,-172.6283333,5,en,2023-03-08,5,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -172.6283333   48.62833333 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-2-FC-5.3,2022-03-02T14:10:00Z,2022,3,2,47.90966667,-171.1541667,5.3,en,2023-03-08,5.3,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -171.1541667   47.90966667 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-3-FC-4,2022-03-03T03:50:00Z,2022,3,3,47.88833333,-165.2666667,4,en,2023-03-08,4,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -165.2666667   47.88833333 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-4-FC-4.3,2022-03-04T05:12:00Z,2022,3,4,47.12183333,-170.2465,4.3,en,2023-03-08,4.3,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -170.2465   47.12183333 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-5-FC-4.7,2022-03-04T15:20:00Z,2022,3,4,46.29333333,-169.4083333,4.7,en,2023-03-08,4.7,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -169.4083333   46.29333333 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-6-FC-4.6,2022-03-05T00:41:00Z,2022,3,5,45.48666667,-168.515,4.6,en,2023-03-08,4.6,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -168.515   45.48666667 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-7-FC-5,2022-03-05T08:45:00Z,2022,3,5,45.38433333,-167.1688333,5,en,2023-03-08,5,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -167.1688333   45.38433333 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-8-FC-4.8,2022-03-05T17:39:00Z,2022,3,5,46.39833333,-167.2066667,4.8,en,2023-03-08,4.8,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -167.2066667   46.39833333 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-9-FC-4.2,2022-03-06T03:30:00Z,2022,3,6,47.50833333,-167.2525,4.2,en,2023-03-08,4.2,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -167.2525   47.50833333 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
IYS2022-TINRO-3-10-FC-5.2,2022-03-06T12:27:00Z,2022,3,6,48.545,-167.2516667,5.2,en,2023-03-08,5.2,https://creativecommons.org/licenses/by/4.0/legalcode,POINT  ( -167.2516667   48.545 ),WGS84,https://doi.org/10.21966/j26w-by50,"Eisner, L. B., & Lomas, M. W. (2022). Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition [Data set]. North Pacific Anadromous Fish Commission. https://doi.org/10.21966/j26w-by50",NOAA,https://edmo.seadatanet.org/report/3588,0.5,millilitres,https://doi.org/10.1016/j.dsr2.2012.02.011
