eventID,scientificName,verbatimIdentification,occurrenceID,scientificNameID,occurrenceStatus,basisOfRecord,recordedBy
IYS2022-TINRO-3-1-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-1-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-1-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-1-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-1-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-1-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-1-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-1-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-2-FC-5.3,Synechococcus,Synechococcus,IYS2022-TINRO-3-2-FC-5.3-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-2-FC-5.3,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-2-FC-5.3-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-2-FC-5.3,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-2-FC-5.3-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-2-FC-5.3,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-2-FC-5.3-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-3-FC-4,Synechococcus,Synechococcus,IYS2022-TINRO-3-3-FC-4-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-3-FC-4,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-3-FC-4-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-3-FC-4,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-3-FC-4-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-3-FC-4,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-3-FC-4-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-4-FC-4.3,Synechococcus,Synechococcus,IYS2022-TINRO-3-4-FC-4.3-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-4-FC-4.3,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-4-FC-4.3-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-4-FC-4.3,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-4-FC-4.3-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-4-FC-4.3,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-4-FC-4.3-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-5-FC-4.7,Synechococcus,Synechococcus,IYS2022-TINRO-3-5-FC-4.7-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-5-FC-4.7,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-5-FC-4.7-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-5-FC-4.7,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-5-FC-4.7-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-5-FC-4.7,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-5-FC-4.7-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-6-FC-4.6,Synechococcus,Synechococcus,IYS2022-TINRO-3-6-FC-4.6-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-6-FC-4.6,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-6-FC-4.6-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-6-FC-4.6,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-6-FC-4.6-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-6-FC-4.6,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-6-FC-4.6-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-7-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-7-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-7-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-7-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-7-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-7-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-7-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-7-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-8-FC-4.8,Synechococcus,Synechococcus,IYS2022-TINRO-3-8-FC-4.8-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-8-FC-4.8,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-8-FC-4.8-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-8-FC-4.8,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-8-FC-4.8-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-8-FC-4.8,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-8-FC-4.8-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-9-FC-4.2,Synechococcus,Synechococcus,IYS2022-TINRO-3-9-FC-4.2-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-9-FC-4.2,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-9-FC-4.2-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-9-FC-4.2,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-9-FC-4.2-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-9-FC-4.2,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-9-FC-4.2-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-10-FC-5.2,Synechococcus,Synechococcus,IYS2022-TINRO-3-10-FC-5.2-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-10-FC-5.2,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-10-FC-5.2-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-10-FC-5.2,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-10-FC-5.2-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-10-FC-5.2,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-10-FC-5.2-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-11-FC-6.3,Synechococcus,Synechococcus,IYS2022-TINRO-3-11-FC-6.3-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-11-FC-6.3,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-11-FC-6.3-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-11-FC-6.3,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-11-FC-6.3-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-11-FC-6.3,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-11-FC-6.3-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-12-FC-4,Synechococcus,Synechococcus,IYS2022-TINRO-3-12-FC-4-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-12-FC-4,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-12-FC-4-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-12-FC-4,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-12-FC-4-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-12-FC-4,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-12-FC-4-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-13-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-13-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-13-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-13-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-13-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-13-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-13-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-13-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-14-FC-5.5,Synechococcus,Synechococcus,IYS2022-TINRO-3-14-FC-5.5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-14-FC-5.5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-14-FC-5.5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-14-FC-5.5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-14-FC-5.5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-14-FC-5.5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-14-FC-5.5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-15-FC-5.2,Synechococcus,Synechococcus,IYS2022-TINRO-3-15-FC-5.2-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-15-FC-5.2,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-15-FC-5.2-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-15-FC-5.2,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-15-FC-5.2-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-15-FC-5.2,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-15-FC-5.2-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-16-FC-4.8,Synechococcus,Synechococcus,IYS2022-TINRO-3-16-FC-4.8-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-16-FC-4.8,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-16-FC-4.8-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-16-FC-4.8,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-16-FC-4.8-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-16-FC-4.8,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-16-FC-4.8-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-17-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-17-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-17-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-17-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-17-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-17-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-17-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-17-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-18-FC-2.8,Synechococcus,Synechococcus,IYS2022-TINRO-3-18-FC-2.8-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-18-FC-2.8,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-18-FC-2.8-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-18-FC-2.8,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-18-FC-2.8-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-18-FC-2.8,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-18-FC-2.8-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-19-FC-5.3,Synechococcus,Synechococcus,IYS2022-TINRO-3-19-FC-5.3-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-19-FC-5.3,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-19-FC-5.3-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-19-FC-5.3,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-19-FC-5.3-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-19-FC-5.3,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-19-FC-5.3-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-20-FC-5.8,Synechococcus,Synechococcus,IYS2022-TINRO-3-20-FC-5.8-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-20-FC-5.8,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-20-FC-5.8-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-20-FC-5.8,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-20-FC-5.8-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-20-FC-5.8,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-20-FC-5.8-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-21-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-21-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-21-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-21-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-21-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-21-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-21-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-21-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-22-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-22-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-22-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-22-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-22-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-22-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-22-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-22-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-23-FC-5.5,Synechococcus,Synechococcus,IYS2022-TINRO-3-23-FC-5.5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-23-FC-5.5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-23-FC-5.5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-23-FC-5.5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-23-FC-5.5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-23-FC-5.5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-23-FC-5.5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-24-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-24-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-24-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-24-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-24-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-24-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-24-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-24-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-25-FC-5.8,Synechococcus,Synechococcus,IYS2022-TINRO-3-25-FC-5.8-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-25-FC-5.8,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-25-FC-5.8-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-25-FC-5.8,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-25-FC-5.8-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-25-FC-5.8,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-25-FC-5.8-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-26-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-26-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-26-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-26-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-26-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-26-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-26-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-26-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-27-FC-5.2,Synechococcus,Synechococcus,IYS2022-TINRO-3-27-FC-5.2-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-27-FC-5.2,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-27-FC-5.2-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-27-FC-5.2,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-27-FC-5.2-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-27-FC-5.2,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-27-FC-5.2-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-28-FC-5,Synechococcus,Synechococcus,IYS2022-TINRO-3-28-FC-5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-28-FC-5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-28-FC-5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-28-FC-5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-28-FC-5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-28-FC-5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-28-FC-5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-29-FC-5.5,Synechococcus,Synechococcus,IYS2022-TINRO-3-29-FC-5.5-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-29-FC-5.5,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-29-FC-5.5-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-29-FC-5.5,Eukaryota,Nanoeukaryotes,IYS2022-TINRO-3-29-FC-5.5-3,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-29-FC-5.5,Cryptophyta,Cryptophytes,IYS2022-TINRO-3-29-FC-5.5-4,urn:lsid:marinespecies.org:taxname:17638,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-30-FC-4.2,Synechococcus,Synechococcus,IYS2022-TINRO-3-30-FC-4.2-1,urn:lsid:marinespecies.org:taxname:160572,present,MachineObservation,Michael W. Lomas
IYS2022-TINRO-3-30-FC-4.2,Eukaryota,Picoeukaryotes,IYS2022-TINRO-3-30-FC-4.2-2,urn:lsid:algaebase.org:taxname:86701,present,MachineObservation,Michael W. Lomas
